Name,Code,Scale,Inv.,Rate (USD),Rate (SEK),Rate (GBP),Rate (EUR)
Albanian Lek,ALL,1,No,101.175,9.888821,126.230962,111.783228
Algerian Dinar,DZD,1,No,135.3953,13.233505,168.925911,149.591537
Angola Kwanza,AOA,1,No,512.1,50.052535,638.921432,565.793835
Argentine Peso,ARS,1,No,220.231,21.525327,274.77115,243.322285
Armenian Dram,AMD,1,No,387.47,37.871228,483.426845,428.096343
Australian Dollar,AUD,1,No,1.49824,0.146438,1.869279,1.655331
Bahamian Dollar,BSD,1,No,1,0.09774,1.24765,1.10485
Bahraini Dinar,BHD,1,No,0.37695,0.036843,0.470302,0.416473
Bangladeshi Taka,BDT,1,No,107.55,10.511912,134.18473,118.826649
Barbados Dollar,BBD,1,No,2,0.19548,2.495299,2.209701
Belarusian Ruble,BYN,1,No,2.5,0.244349,3.119124,2.762126
Bosnia and Herzegovina Convertible Mark,BAM,1,No,1.77025,0.173024,2.208652,1.955861
Botswana Pula,BWP,1,No,13.149244,1.285204,16.405651,14.527946
Brazilian Real,BRL,1,No,5.03505,0.492125,6.281979,5.562976
British Pound,GBP,1,No,0.801507,0.078339,1,0.885545
Brunei Dollar,BND,1,No,1.33535,0.130517,1.666049,1.475362
Bulgarian Lev,BGN,1,No,1.7698,0.17298,2.208091,1.955364
Canadian Dollar,CAD,1,No,1.35585,0.13252,1.691626,1.498011
Chilean Peso,CLP,1,No,814.3,79.589493,1015.961183,899.679593
Chinese Renminbi,CNY,1,No,6.91785,0.676149,8.631054,7.643189
Colombian Peso,COP,1,No,4460,435.919365,5564.51784,4927.632306
Costa Rican Colon,CRC,1,No,533.12,52.107025,665.147029,589.017788
Croatian Kuna,HRK,1,No,6.9235,0.676701,8.638103,7.649431
Czech Koruna,CZK,1,No,21.24045,2.076037,26.500642,23.467517
Danish Krone,DKK,1,No,6.7462,0.659372,8.416895,7.453541
Dominican Peso,DOP,1,No,54.56,5.332682,68.07177,60.280632
Egyptian Pound,EGP,1,No,30.9,3.020159,38.552377,34.139874
Ethiopian Birr,ETB,1,No,54.35565,5.312709,67.816813,60.054856
Euro,EUR,1,No,0.9051,0.088464,1.129248,1
Fiji Dollar,FJD,1,No,2.2373,0.218673,2.791367,2.471882
Georgian Lari,GEL,1,No,2.5,0.244349,3.119124,2.762126
Ghanaian Cedi,GHS,1,No,11.85,1.158216,14.784649,13.092476
Hong Kong Dollar,HKD,1,No,7.8495,0.767208,9.793427,8.672522
Hungarian Forint,HUF,1,No,340.1141,33.242673,424.343268,375.775163
Iceland Krona,ISK,1,No,136.005,13.293097,169.686603,150.265164
Indian Rupee,INR,1,No,81.91875,8.00672,102.205907,90.507955
Indonesian Rupiah,IDR,1,No,14845,1450.946854,18521.36039,16401.5026
Iranian Rial,IRR,1,No,42000,4105.07025,52401.28907,46403.7123
Iraqi Dinar,IQD,1,No,1320,129.016494,1646.897657,1458.402386
Israeli Shekel,ILS,1,No,3.64545,0.356305,4.548245,4.027676
Jamaican Dollar,JMD,1,No,153.35715,14.989092,191.336008,169.436692
Japanese Yen,JPY,1,No,134.43,13.139157,167.721555,148.525025
Jordanian Dinar,JOD,1,No,0.70955,0.069351,0.88527,0.783947
Kampuchean (Cambodian) Riel,KHR,1,No,4091,399.85339,5104.135086,4519.942548
Kazakhstan Tenge,KZT,1,No,455.175,44.488699,567.89897,502.900232
Kenyan Schilling,KES,1,No,135.6,13.253513,169.181305,149.8177
Kuwaiti Dinar,KWD,1,No,0.3062,0.029928,0.38203,0.338305
Latvian Lats (Obsolete),LVL,1,No,0.5083,0.049681,0.63418,0.561595
Lebanese Pound,LBP,1,No,15044.25,1470.421503,18769.9546,16621.64402
Lempira,HNL,1,No,24.615,2.405864,30.710898,27.19589
Libyan Dinar,LYD,1,No,4.76335,0.465569,5.942992,5.262789
Macedonian Denar,MKD,1,No,55.705,5.444594,69.500329,61.545686
Madagascan Ariary,MGA,1,No,4412,431.227856,5504.630652,4874.599492
Malawi Kwacha,MWK,1,No,1026.435,100.323519,1280.631361,1134.05701
Malaysian Ringgit,MYR,1,No,4.446,0.434551,5.547051,4.912164
Mauritius Rupee,MUR,1,No,44.9,4.388516,56.019473,49.607778
Mexican Peso,MXN,1,No,17.9915,1.758485,22.44709,19.877914
Moroccan Dirham,MAD,1,No,10.1229,0.98941,12.629834,11.184289
Mozambique New Metical,MZN,1,No,64.25,6.27978,80.161496,70.986631
Namibian dollar,NAD,1,No,18.1894,1.777828,22.694,20.096564
Nepalese Rupee,NPR,1,No,131.07,12.810751,163.529451,144.812728
New Zealand Dollar,NZD,1,No,1.620483,0.158386,2.021795,1.790391
Nicaraguan Cordoba,NIO,1,No,36.55,3.572389,45.601598,40.382278
Nigerian Naira,NGN,1,No,460.75,45.033598,574.854618,509.059772
Norwegian Krona,NOK,1,No,10.53355,1.029547,13.142181,11.637996
Omani Rial,OMR,1,No,0.385,0.03763,0.480345,0.425367
Pakistan Rupee,PKR,1,No,283.58,27.717043,353.808513,313.313446
Panamanian Balboa,PAB,1,No,1,0.09774,1.24765,1.10485
Papua New Guinea Kina,PGK,1,No,3.5247,0.344503,4.397591,3.894266
Paraguay Guarani,PYG,1,No,7205.35,704.249236,8989.753053,7960.833057
Pataca,MOP,1,No,8.085,0.790226,10.087248,8.932715
Peruvian Inti,PEN,1,No,3.754,0.366915,4.683677,4.147608
Philippine Peso,PHP,1,No,55.445,5.419181,69.17594,61.258424
Polish Zloty,PLN,1,No,4.1637,0.406959,5.194839,4.600265
Qatari Rial,QAR,1,No,3.64,0.355773,4.541445,4.021655
Quetzal,GTQ,1,No,7.797,0.762077,9.727925,8.614518
Romanian Leu,RON,1,No,4.46505,0.436413,5.570818,4.933212
Russian Rouble,RUB,1,No,81.275,7.9438,101.402733,89.796708
